Commit message,Class
refactoring move xml code epubprocessor move epub cleaner code epubcleaner,pull up
load uplayer mplayer renames,rename
start refactor fastpath handler make stuff private etc,inline
simplify differ implementation move circular reference detection delegator class get rid abstract base class good riddance,move
bug clean expand model validation also begin work add support connection extension point,inline
rewrite state cla b b s gather information need obtain correct bit widths implement case git svn id f ee dfeeeb,inline
sramp simplify test cleanup non nls x,inline
add subject isinstanceof class isnotinstanceof class create moe java moe migrate revid,extract
added support file selector unarchiver thisallows restrict extract file pr plxcomp,extract
refactored samplepatientorder move stuff heap add tableidservice,move
rf sample refactor,push down
add channel value assaynodes multi channel micro array experiment,extract
added reset candidate as service refactoring,inline
introduce configurable category per assembly default category assemble include,inline
cleanup statistic visitor removal unused interface removal warning,push down
face develop portal navbar portal nav portal navitem component face develop portal permissionsurl component refactored use new abstract portaltagrenderer parent class face develop liferay face showcase add use case portal navbar portal nav,pull up
refactored combinefn infrastructure,push down
refactor introduce direct client concept,push down
added test buildstepoperation,extract
vandana rename method,rename
pr massembly massembly fix massembly introduce new assembly element work like delete unused method parameter need deprecate bec release yet add test harness class test process git svn id f bb ffa edef,push down
add good support keypath visibility property convert detail eo id pk format instead pk delegate attempt load default rest delegate name restentitydelegate make registration easy put request handler session fix ajax jsonrequesthandler restrequesthandler add convenience registration method erxrestrequesthandler add misc javadoc ified move generic render method higher support generate alternative output format,pull up
refactored aop code allow aspect framework besides aspectj make use code,pull up
simplify bit asyncfileimpl,inline
move newnumber confignumber rather abstractconfigvalue,push down
add convenience method abstractverticle rename loaderhelper back servicehelper,rename
fix regression lift semigroup sum move lift definition monoid,move
tool time refactor timing table fix cmp cache miss timing,push down
extract method buildqueryuri future queryexecutor implementation get uri object eventually change turn string,extract
sonarjnkns rename enforcegreen abortpipeline,rename
fix page number pad empty private group minor item,extract
move send receive code smtpsession textprotocoltester move protocol independent send receive code smtpsession test textprotocoltester reduce duplication also remove final quit command check connection teardown etc textprotocoltester handle moment,move
create list person scenarios little change page title import etc update facade service person rename scenario,rename
update translator rename,rename
forgive god sin one change single commit add dependency injection opmobjectinstancevalueanalyzer refactored method analyzer class,push down
add secondary table support cassandra ds client,extract
refactoring multivalue object editor start iospecification custom property editor simplify,extract
eventframe frameselector bugfix hack refactored lgm load load paramters fix bug frameselector empty load new game simply destroy recreate eventframe hack seem cause selector inform new root node refactored rearranged lgm startup bit mdi create method creation method return component later add preload method load file pass parameter list attempt recover failure consider make listener load modular preload do via call extract duplicate code listener load new method lgm reload git svn id f f bc e cd,inline
improve give command close,push down
clean code externalise string mdimanager move listen code inner class clistener avoid empty interface method message property organise gamesettingframe string tab gamesettingframe externalised new string forget part part commit git svn id f f bc e cd,move
open issue flexmojos move test runner separate component,inline
added reset user action,extract
added example configurable fieldpopulators make work,extract
remove old matsimsimulation move functionality plugin,move
clean version tokenstreamfactory upwards compatible one,push down
refactor resource java feature fix,push down
change way upgrade work dbopenhelper onupgrade method final override new method call onupgradedatabase update copyright add method get table name column name sqlhelper class,extract
refactored integration test class slightly,pull up
move sharedloglogic specific getcheckedoperations superclass move operation resolve abstractloglogic,push down
rf controlers refactoring,pull up
rhogen wizard src rhogenwizard rhohub tokenchecker java token dialog change login dialog,inline
improvement n testpart render testpart feedback xslt tidy bit renamed xslt testpart feedback updated simple ni example bit,rename
move block code main method sesamequeryutils eyeball pseudo test actual test case,move
refactored kind hierarchy,push down
major rewrite command line tool simplify logic less duplicate code minor new feature allow run r server jdbc connection allow run tool l dump sql drop j switch dump rdf provide naked file url add verbose debug switch consistent error reporting introduce systemloader class central factory facade improve consistency base uri handle change initialization logic r server,inline
review view creation base maodel fxml simple also manage autorelease model,push down
remove resource model class since antipattern bad performance inheritance level generate sql join update sample apps identity manager accord include baptiste loic improvement update controller method replace kazan specific password generator spring security one add exception mapper alreadyexistingentityexception use raw type instead response genericcontroller hg enter commit message line begin hg remove,inline
remove need explicit row lock allocate uids exist code explicit row lock exhibit poor performance also prevent multiple tsds allocate uids concurrently new approach consist perform atomic increment grab new uid ca ing compareandset reverse mapping uid name ca ing forward map name uid die step waste uid die step end orphan reverse mapping harmless two tsds race assign uid name one fail ca forward map step retry find uid assign win tsd occurs net consequence uid waste lose tsd whereas previous implementation waste one happen uid fsck command easily detect orphan wasted uids could conceivably put kind free list future allocate two tsds run side side one use old method use new lock less method thing still work expect two possible scenario old tsd go first locks maxid row thing new tsd wait row lock release atomic increment go new tsd go first atomically increment maxid row thing second tsd lock maxid row proceeds allocate id concurrently,inline
rename api method nicer form allow full operator overload,rename
model change discuss past two day,push down
first refactor tal support,pull up
extract json instance loader,extract
rewrite queryresultparser fix issue,inline
rule use violation specific value message specifically variablename methodname classname packagename minor tweak javaruleviolation report variable name astvariabledeclarator field add java optimization ruleset rule redundantfieldinitializer submit lucian ciufudean git svn id baf c fc e,extract
fix merge,inline
massive refactoring exception handle try simplify thing currently little bit complicate another round shortly main benefit change error handling flow one class error java take care manage current source line manage current injectionpoint building message tostrings refactoring use almost exactly code provisionexception creationexception consequence provisionexceptions include full error report class inject fail fast fast applies provide time well injector create time also make injectionpoint public class spi replaces dependency like change dependency abstract name whereas injectionpoint guicey guice injects stuff dependency consequence like api well expose core guice abstraction directly entire change need doc simplification cleanup todo git svn id guice googlecode com svn trunk f b b b aecad e,inline
arqgra page fragment implement webelement interface delegate interface invocation root page fragment declated asbtract implement webelement interface method invocation page fragment intercepted webelement interface delegate root page fragment locationenricher creation page object improve use method pageobjectenricher support declare page fragment abstract class add cause require change code,inline
add first draft multi tap recognizer,extract
client refactored,pull up
clean devutils makeoptions,inline
refactoring upversioned,pull up
task start extract improve interpolation feature frommoduleinterpolator,extract
fix another regression refactoring git svn id f bb ffa edef,pull up
close,move
remove support kerberos authentication make always lax previously call lazy remove support explicit lax connection use parameter merge test class different setup one test class general code cleanup,push down
fix biome rendering,push down
add support android refactored property load write osgi service base extensible actual android support supply plugin,pull up
add servicesview extension point support future support change id cbe dfaa b ab e c f,extract
runtime model enhancement add tags attachment introduce specelementinfo base class add ispecificationcontext getcurrentfeature getcurrentspec add specinfo package rename specinfo isbottomspec istopspec avoid groovy name conflict getbottomspec gettopspec,push down
fix dependency injection accord specification basic idea object depend upon instance object need object inject dependent object example pass database connection argument constructor instead create one internally source orient design design principles strategy,inline
jenkins configurable issue priorityid typeid actionidonsuccess motivation jenkins create jira ticket priority type id hardcoded may break ticket creation note jenkins modification allow admin configure issue priority id type id jenkins job configuration allow admin configure actionid success allow plugin automatically resolve close ticket result support jira type id different great flexibility setting workflow,extract
work inside getmovetopath previously fileepisode two method private one call getmovetodirectory compose string user specify destination directory replacement template information find file public one caleld getmovetopath basically call getmovetodirectory turn result path make sense since work string lot various component string need string put resultstable still point ultimately move file actual path pretty important plus use path resolve seem well concatenate string file separator string still need string switch around create path object use tostring get string version,inline
add unit test refactor pushcommand,extract
split resolvesource substitutionresolver configsubstitution part plan remove substitutionresolver move memoized hash resolvecontext move replacement functionality resolvesource clearer,move
wip integration test move separate module junit,move
large document longer cause exception mongodocumentio cleanup add new test file mongodocumentio require live mongodb instance,extract
add colour cod grammar line,extract
remove internalcall reduce internal stack usage little bit,inline
rename sessionhash sessiontoken,rename
added model visualization deserialization,extract
hh change grizzly default iostrategy,inline
add parameter call pay invoice,extract
face prepare osgi move impl class internal sub package order clearly distinguish api implementation reduce api inputdatetime component remove method make method final,inline
refactor basiccfindscp,pull up
extractormultipleregex javarefactor readability,extract
refactoring move method directly relate announcement utility class git svn id f bb ffa edef,move
bit work symbol table class name record globalscope come think probably record sourcefilescope interim layer instead allow private inner class rate also push stuff abstractscope localscope seem fit well remove useless unit test add good one generally make progress towards fix unused private field false positive inner class private field reference enclose class git svn id baf c fc e,push down
refactor marker resolution quick fix change id ibdcc cf cfbb fd c ba ce cfb c cb sign anton tanasenko,pull up
change id df dffe b bd ffc,push down
rename async vertx static factory method vertxasync provide test,rename
rf add unique copyable enforcement clean fieldtype hierarchy,pull up
rename requestcontext getrequestedpath getrequestpath,rename
warn elimination hazard model generation remove aml,pull up
use abstract class interface anytypedeclaration hierarchy remove one break api change,push down
open issue flexmojos move test runner separate component,pull up
remove disable old rowlog code rowlog relate package remove completely global rowlog tool rowlog visualizer kauri rowlog module reference pom rowlog remove grep code still quite rowlog trace leave test rely index happen test linkindex comment compeletly would run anyway little advantage make compile reference rowlog leave place easy migrate new solution hold rowlogmessagelistener indexupdater linkindexupdater thing need adjustment new rowlog solution place mark fixme rowlog refactoring,inline
set clear enctype invokeaction addition appendtoresponse form appendtoresponse fire case add erxwofileupload via update container inside form,extract
arqgra rename sizzlejspageextension jquerypageextension,rename
resolveentityreference make private moved webutilsservice treenodeservice,move
minor refactor git svn id f bb ffa edef,pull up
add mdr write break send device probably need associated x section git svn id f ee dfeeeb,extract
move server configuration server,push down
rename vdiff fvdm,rename
get rid redundant private randomvectors method rename vector class,rename
wcet new improve implementation callgraph work fine receiver type analysis cleanup doc frontend package,pull up
mrelease refactor use generate release descriptor instead release configuration class submit jeremy whitlock git svn id f bb ffa edef,pull up
move simpleservlets webapp web directory,pull up
balajin use updatescope contract patientwebservice patientservice move treatmentcategories refdata remove patient dependency validation mapping,move
move custom utf decoder subclass encode add support utf decoder unicode code point u ffff represent surrogate pair java value generatedby backend reverse path already handle jvm ownutf encoder add number unicode encode decode test make sure work,push down
ui test refactoring,pull up
jcbc add support spatial view query changeset add capability query spatial view query work without document reduce query test refactored new file well encapsulation change id e f c e f f c review review volker mische review michael wiederhold test michael nitschinger,pull up
logtool initial work support new param annotation major refactoring,push down
gui test refactoring multipagechest support,pull up
refactor cache bit,pull up
enhance sslcontextbuilder add privatekeystrategy interface enable customization private key selection ssl test case git svn id f bb ffa edef,inline
add check log user add behavior store data tab change repeatable field autocompletable field weather temperature field must enhance well,extract
enunciate rename json specific overload enunciatefreemarkermodel add avoid accidental call add typedefinition add jsontypedefinition addjsontype add jsonrootelementdeclaration addjsonrootelement git svn id c b b b e,rename
refactor basiccstorescp,inline
rewrite plugin creation code,inline
rename varables correct return value getter graphrep,rename
hv move collection fail constraint constrainttree,move
add filesystem support libvirt functionality allow map kvm host filesystem guest domain refactor various libvirt xml function,move
clean example add comment javadoc add example,extract
massive refactoring separate unit test integration test,pull up
added connector remove edgeroles,pull up
sc qcadoomes refactored production scheduling fix,push down
rename exporting class,rename
updated concept version also move functionality relate concept version dictionary class,move
nxp cleanup right public private social workspace cleanup unit test,pull up
chunk change logic good enough move mainlistener,move
refactored cpu test suite,inline
create first version linkedhashbimap test yet,push down
work database bug fix,push down
pull makeremoterequest,pull up
jfg session scope plot add webui follow feature test sort startime pause end previous test next test also consider,extract
ellipsoid rename constrict contract,rename
use apache tika default text extraction clean error hand append correct extenstions,inline
roi add group field basically allow group roi specific operation add getlength sequence method compute length perimeter sequence pixel size information add geteffectivedimension dimension method add unselectallpoints method move method roiutil much interaction vtk display move modify roi directly view roi add support z drag operation cleanup tweak roi dshape many change add interaction vtk render safe vtk render roi dpoint well vtk render roi darea safer vtk render fix small issue vtk display correctly update drag operation minor tweak improvement roi add roi dpainter class easy display interaction roi add isoveredge method add roi dshape abstract class shape roi add roi dpoint point type roi add roi dline line type roi add roi dpolyline polyline type roi add roi dstackshape abstract class stack shape roi add roi dstackellipse ellipse stack type roi available stack operation add roi dstackpolygon polygon stack type roi available stack operation roi dstack fix setname method child get modify well deprecate getusechildcolor setusechildcolor method roi darea safer optimize vtk render add roi darea booleanmask zmin zmax constructor add isoveredge method roiutil move method roi getunion getintersection add converttostack method convert roi stack roi add converttomask method convert shape roi area roi add converttoshape method convert area roi polygon roi add getconnectedcomponents separate retrieve connect component input roi added copyroiproperties copy property input roi roi action add convert stack operation convert roi stack roi add convert mask operation convert shape roi area roi add convert shape operation convert area roi polygon roi add separate object operation separate connect component area roi add manual cut operation manually cut separate roi yet implement add automatic split operation automatically split roi give shape yet implement roi panel modify position size multiple roi time remove copy paste roi link operation gui add new tooltip explain main menu add java warn osx user first menu task dedicate roi operation remove image open save action organize roi creation action add many roi operation action anchor added integer z position information position roi add vtk display interaction support allow roi manipulation vtk pathanchor fix visibility closing point booleanmask add getconnectedcontourpoints method retrieve contour connect order minor change make safer icycanvas add canvastoimagelogdeltaz method z equivalent canvastoimagelogdeltay canvastoimagelogdeltax method icycanvas improve setmousepos method safier icycanvas add method handle mouse image position canvas reverse pan direction keypad key vtkcanvas add getworldz point method retrieve z depth give canvas position add worldtodisplay point method convert world point canvas position add displaytoworld point method convert canvas position world point implement imagetocanvas canvastoimage previous add method implement getscalex method implement setmouseimageposx z method mouse event provide correct mouse position remove enable picking mouse move switch vtkutil simplify getsurfacefromimage method icyvtkpanel add proper event consume systemutil add getjavaversionasnumber method icyexceptionhandler add anti spam protection report method fileutil add getfiles method easily retrieve file specific extension without use filefilter xmlutil add filter avoid incorrect character name attribute field icycommandbutton add setpopup method enable popup action tooltipframe add support open external browser click url roiperimeterdescriptor modify use new roi getlength method,move
minor tweak follow review extraction method plus throw upon unexpected data mapping genre,extract
rename poorly name method,rename
changenamespace renameresources move renameresources method renameresources try prevent concurrentmodificationexception tdb,move
idea load libs place lib directly jdk move start class path update version,inline
add basic configuration validation ui,extract
rename update pojo update merge pojo ref,rename
rename method consistent resource,rename
rename getoutputwindow createoutputview clarity,rename
move external type record namespace encoder decoder config,push down
merge sync api refactor branch,inline
java use one buffer flip instead two steamsocket java merge getreply readpacket steamsocket java delete spare import sourceserver,inline
merge parallel test branch master fix lazy initialisation bug improve uuid reservoir design add test run parallel,pull up
split addlist two method rename lead method atnode,rename
restore tz hint program broadcast around bst gmt changeover radio time fee previously include hint start programme title cater ambiguous localtime programme start time bst gmt transition patch prepends bst programme title start hour day changeover gmt title start hour afterwards clock go back without change ambiguous localtimes generate listing make impossible downstream software generate correct utc offset broadcast,inline
compute real arc length roadnetwork write yet cosmetic fix move distance calculation routearc coord go utils git svn id f ee dfeeeb,move
add interface translatable logger clean log localized message additionally bukkit log correct prefix properly apply log message,inline
move mouse related code subclass mouseovermousemanager class defaultmousemanager use optionally,push down
added histogramoperationstats refactored bar chart generation mean stddev retrieve histogramoperationsstats seem sometimes suffer hdrhistogram bug,pull up
extract loadclass allow override,extract
add one class move chart logic kind code wonder java really help get way,move
merge sandobox main looong time,inline
update first incremental check primarily refactors clean duplicationservice preparation add report error queue git svn id ed cd f c b fe bcb,push down
ui change fix renamer add select column need add select deselect control display full path rename table move enable fixed renamer move enable,rename
refactored css package allow clean separation core,push down
delombok add listimpl class order remove duplicate two class,pull up
project slimfastrefactored node hierarchy leaf node text comment script etc use byte vs byte,push down
create schedulableentitymanager class update entitytypetest add isschedulable method add testcases cluster schedule resume,push down
make line address parse generic utility method reuse parse destination address copy move line enhancement,move
bz rename method mention consumer unregister sign alexlehm,rename
rename streamrecurrencedates streamrecurrences,rename
added unit test move class name check central place,move
move mouse related code subclass mouseovermousemanager class defaultmousemanager use optionally,push down
added quote provider extract quote html table fee provider try detect table html load feed url base column header determine type extract value table issue,extract
immutable location move change location service reflect location subclass immutable therefore add method depreciate new implementation static add create new location update coordinate haslocation setter allow location change share state updated test location store share state via haslocation interface underlying location change locationservice new setagentlocation method change underlie location share state function disable participantlocationservice cannotseeagent runtimeexception check movehandler updated new apis,pull up
rename jmx attribute,rename
fix message id topicsadded method inheritance testrefactored nevadoqueueconnection nevadotopicconnection,inline
tidy add comment git svn id f ee dfeeeb,inline
refactored negotiatescheme separate spnegoscheme kerberosscheme implementation deprecate negotiatescheme related class git svn id f bb ffa edef,pull up
various code improvement yea say kill,push down
fix add global annotation graph fix bug global annotation ignore graphhandler java thus render gnuplot add async call hbase retrieve global annotation require similar fashion queryrpc java note since graphhandler java queryrpc java implement similar query processing logic unified future require large refactor split query logic visualization logic sign chris larsen,inline
refactor celmailscriptservice move method imailsenderrole,move
add use discovered service id,extract
item retract handle refactored code,pull up
refactored external resource location logic resourcefactoryimpl move new service,move
finish support pull module,pull up
hv move test case xmlmappingtest,move
manual merge refactor geoip,inline
refactoring move job specific handler jobsubstitutionhelper sign oleg nenashev,move
first commit move timer thread pool protocolstack transport merge thread factory one defaultthreadfactory change name thread slightly,move
also ignore itemevents refreshobjectcombobox merge refreshobjectcomboboxentries selection,inline
artif move query paging query,move
hv pull gettypeargumentconstraints constrainedelement,pull up
icon move drag drop interface update dockables drop left right single tab git svn id e b fefcacdf,move
move countingnodetester example,pull up
replace area intersect sutherlandhodgmanpolygonclipper advantage allow move shape merger chain need want optimize wrong angle shape img size increase bite compare r filter yet work properly git svn id prec coord f ee dfeeeb,inline
output describe environment file json abstractneedsenvironment fix sort lookup logic move abstractbeanstalkmojo instead describeconfigurationsettings template work optionals createenvirionment drop cnameprefixtocreate hg branch cnameprefixforenvironment,pull up
work move element create code activelayermodel cidslayerfactory,move
refactoring make nexusurl non need mess change clean bit strategy defer direct strategy tamper rest able work without specify nexusurl plugin configuration hand image staging strategy use rest former close latter fully use v rest api stag class hierarchy clean non client user extend abstractdeploystrategy client user extend abstractstagingdeploystrategy,pull up
move checkeventsequence flushtest,push down
refactor urldata create reusable implementation,push down
add callgraph class lot bugfixes extendsions struct invokes,push down
cleanup among refactored command class move addintermediatedir method base class since share move addsslconfiguration method base class since share two command added validation null check,pull up
classloader refactor,inline
merge makemove undomove method,inline
remove repositorymgr gettypemgr usage lead repositorymanager l repository refactoring indexer code,move
refactor,extract
clearcase plugin refactoring pollaction changelogaction common historyaction git svn id c de ed b c,pull up
move static method utility class could test updated javadoc git svn id f bb ffa edef,move
refactoring matcher lookup yet,pull up
tool microcode time analysis version refactoring support processor cmp support io write monitorenter monitorexit,push down
create listbucketsendpoint extract creation logic,extract
jvm test rename getname tostring,rename
fix null exception unbalanced assignment inspection refactored annotator visitor begin make sure correct accept method get add hg rename src lang psi impl expression luadeclarationexpression java src lang psi expression luadeclarationexpression java,rename
biserver lot code shuffle around reduce interdependency controller main class embeddedwizard additionally message dialog centralize one messagehandler controller,inline
method renames add license header,rename
open hudson ucm implement scm new poll logic support rebases well bit refactoring refine edge case load rule git svn id c de ed b c,push down
progress use massivecraftcore allman indentation style minor refactoring,pull up
add simple annotation checker use isempirecompatible empireutil actually move annotation checker also check make sure multiplicity annotation use correctly sufficient check build add check think close,move
refactored ssl test use java api rather property configuration git svn id f bb ffa edef,pull up
correct interpretation optdivide oneside move long side calculation rectanglevalue future use,move
fix hudson add support creation removal dynamic view tweak view removal job delete renamed workspace wipe git svn id c de ed b c,pull up
rename jaxp base xmlreaderfactories jaxp part name jaxp default make complicate need,rename
experimental incomplete add code collect city name zip code todo split interval zip code city house git svn id f ee dfeeeb,extract
refactoring util source directory move sdktestcase util test directory remove unused class invalidurlschemeexception inline class noseparatorfindableinpathexception rephrase reference app collection use phrase test data,inline
move relatedlinks content describedmoves relatedlinks field relate method hierarchy describe content person also haverelated link,pull up
path create separate function way initialize context related stuff like example way transforms handle,extract
refactoring move map method resolve stuff class responsibility,move
major refactorin model sitemodel interface implement defaultsitemodel old sitemodel filteredsitemodel design thing like spider show entire view fuzzermodel show query spider model factor spider java class standalone fuzzer beginning fuzzer support also proper model plan factor model sessionid fragment eventually model event proper event class rather multiple parameter,push down
refactored pipelinebase usable implement sharedjedispipeline well,push down
xmlnode rename localname qticlassname,rename
balajin refactoring treatmentcardservice extract method,extract
remove unregister jena support,inline
rename getcellattributebuilder,rename
move group communication jvstm ispn commit complement cc fe first add support group communication jvstm base backends consider best keep backend specific commit move functionality backend currently extend jvstm common jvsmt ispn,push down
